Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
08/03/2016,26.448,83.67,96.09,77.4,78.66,120.51,256.85,68.88,78.71,117.52,2163.79
08/04/2016,26.468,84.75,95.16,77.41,77.54,119.62,257.75,69.61,79.48,118.3,2164.25
08/05/2016,26.87,84.59,95.83,77.8,78.28,120.9,260.29,70.15,80.14,119.21,2182.87
08/08/2016,27.093,85,95.75,78.52,78.58,120.16,260.19,70.14,79.95,118.29,2180.89
08/09/2016,27.203,85.24,96.67,77.74,76.72,120.58,260.66,70.25,80.06,118.31,2181.74
08/10/2016,27,87.33,97.86,77.93,76.95,119.83,261.3,69.89,79.68,118.8,2175.49
08/11/2016,26.983,91.77,97.77,79.72,78.16,120.41,262.54,70,80.12,119.38,2185.79
08/12/2016,27.045,98.25,96.84,79.34,78.81,119.91,264.15,69.84,80.02,119.52,2184.05
08/15/2016,27.37,97.17,97.1,80.27,78.59,120.26,266.5,70.33,80.91,118.52,2190.15
08/16/2016,27.345,96.66,96.88,79.87,77.98,119.64,256.77,69.82,80.81,117.94,2178.15
08/17/2016,27.305,97,96.87,78.54,77.71,120.1,255.64,69.82,80.84,117.1,2182.22
08/18/2016,27.27,97,96.65,80.09,77.95,120.03,255.42,70.13,80.27,117.13,2187.02
08/19/2016,27.34,96.86,96.39,80.65,78.05,120.3,254.12,70.27,80.47,115.01,2183.87
08/22/2016,27.128,95.65,95.87,80.11,76.97,120.3,254.2,70,81.06,115.42,2182.64
08/23/2016,27.213,95.79,95.97,80.24,77.82,121.27,249.75,69.98,80.8,115.19,2186.9
08/24/2016,27.008,93.88,95.82,80.18,77.68,120.94,248.12,69.9,80.29,114.87,2175.44
08/25/2016,26.893,93.94,95.55,80.59,79.07,121.09,248.53,69.82,80.32,115.43,2172.47
08/26/2016,26.735,95.06,95.21,78.19,78.62,121.57,244.44,69.75,80.57,114.44,2169.04
08/29/2016,26.705,94.88,94.87,78.26,78.88,122.6,244.3,69.98,80.87,115.41,2180.38
08/30/2016,26.5,96,94.86,76.85,79.33,122.97,239.45,69.31,81.17,115.36,2176.12
08/31/2016,26.525,97.19,94.46,76.51,78.45,123.54,242.97,69.54,80.9,115.66,2170.95
09/01/2016,26.683,97.42,94.26,76.66,78.29,123.94,243.61,69.7,81.3,115.4,2170.86
09/02/2016,26.933,99.25,94.42,68.57,78.87,125.43,243.32,69.68,82,115.83,2179.98
09/06/2016,26.925,103.78,93.8,67.68,79.11,125.79,243,69.79,82.53,117.25,2186.48
09/07/2016,27.09,102.32,93.71,68.23,79.59,125.69,241.37,69.49,83.24,116.92,2186.16
09/08/2016,26.38,102.57,94.09,66.08,80.08,125.73,241.63,68.99,82.97,116.17,2181.3
09/09/2016,25.783,99.62,92.42,64.8,77.86,122.22,237.94,66.67,81.33,114.58,2127.81
09/12/2016,26.36,100.8,93.64,66,78.84,124.24,238.8,67.94,82.97,115.95,2159.04
09/13/2016,26.988,100.28,92.7,65.93,77.25,122.12,237.41,67.45,81.89,114.73,2127.02
09/14/2016,27.943,102.4,92.26,66.15,76.97,121.52,237.41,67.79,81.49,115.18,2125.77
09/15/2016,28.893,104.45,92.5,66.05,79.1,124.11,239.09,69.22,82.01,116.14,2147.26
09/16/2016,28.73,104.64,92.56,65.98,79.09,123.27,237.45,69.36,82.07,115.28,2139.16
09/19/2016,28.395,103.03,92.63,65.81,80.35,124.68,240.88,69.54,82.51,115.21,2139.12
09/20/2016,28.393,101.45,92.95,65.69,79.58,124.78,240.48,69.18,82.48,116.45,2139.76
09/21/2016,28.388,106,92.39,65.4,80.07,127.56,243.82,69.56,83.22,116.93,2163.12
09/22/2016,28.655,109.36,93.41,65.73,80.03,126.83,246.62,69.76,83.36,117.36,2177.18
09/23/2016,28.178,107.71,93.27,65.19,79.58,124.98,245.84,68.98,82.54,117.17,2164.69
09/26/2016,28.22,105.89,91.96,64.03,79.47,124.93,245.53,68.42,81.81,116.53,2146.1
09/27/2016,28.273,108.26,91.72,64.52,79.41,126.86,245.79,69.45,82.16,116.88,2159.93
09/28/2016,28.488,108.75,92.2,63.51,81.19,127.56,245.75,69.74,82.97,115.18,2171.37
09/29/2016,28.045,105.55,91.8,60.99,79.28,125.02,242.34,69.84,81.92,114.79,2151.13
09/30/2016,28.263,105.79,92.86,60.98,80.55,126.56,239.72,70.18,82.7,115.36,2168.27
10/03/2016,28.13,105.38,92.49,60.3,80.41,124.96,240.58,69.66,82.86,114.64,2161.2
10/04/2016,28.25,105.45,92.59,59.39,79.82,124.2,237.1,69.59,82.73,113.5,2150.49
10/05/2016,28.263,106.96,92.45,59.19,81.09,124.15,236.6,70.6,83.35,113.41,2159.73
10/06/2016,28.473,107.08,92.83,58.52,80.77,125.04,234.72,70.96,83.36,113.92,2160.77
10/07/2016,28.515,106,92.49,58.29,80.39,123.86,233.53,70.87,82.88,113.45,2153.74
10/10/2016,29.013,108.41,92.49,57.81,81.3,124.65,233.29,69.93,83.12,114.71,2163.66
10/11/2016,29.075,105.23,91.86,56.76,80.56,122.75,231.85,68.76,82.04,113.68,2136.73
10/12/2016,29.335,103.62,91.41,57.15,79.81,123.37,232.1,68.46,82.25,114.71,2139.18
10/13/2016,29.245,102.15,91.12,57.6,79.15,122.67,232.99,67.77,81.87,115.41,2132.55
10/14/2016,29.408,101.85,91.3,56.62,79.31,123.15,232.57,68.49,82.45,114.09,2132.98
10/17/2016,29.388,102.84,90.83,54.88,79.14,122.55,232.77,68.42,82.15,112.41,2126.5
10/18/2016,29.368,103.34,91.17,56.3,79.59,122.89,232.79,69.25,81.58,111.25,2139.6
10/19/2016,29.28,103.93,91.93,58.58,79.67,122.68,232.33,69.49,82.81,111.26,2144.29
10/20/2016,29.265,103.85,92.03,57.77,79.74,122.12,231.83,69.75,82.5,110.57,2141.34
10/21/2016,29.15,103.94,93.03,57,80.35,123.99,230.52,69.97,82.35,113.93,2141.16
10/24/2016,29.413,104.5,93.37,56.2,80.59,124.64,232.16,71.68,83.17,113.57,2151.33
10/25/2016,29.563,104.22,92.75,55.11,80.76,124.25,249.26,71.2,82.03,112.72,2143.16
10/26/2016,28.898,102.78,93.49,57.01,81.06,123.32,250.09,71.71,81.75,112.11,2139.43
10/27/2016,28.62,102.38,94.02,57.22,79.99,122.86,248.53,70.73,81.92,112.08,2133.04
10/28/2016,28.43,101.93,93.85,58.4,80.13,122.28,248,70.8,82.22,112.1,2126.41
10/31/2016,28.385,101.69,92.69,57.25,81.15,121.85,246.38,70.85,82.51,112.57,2126.15
11/01/2016,27.873,101.15,92.39,57.31,80.25,120.93,244.98,69.44,81.62,112.25,2111.72
11/02/2016,27.898,98.51,91.91,57.4,78.34,119.46,245.11,68.84,80.58,112.39,2097.94
11/03/2016,27.458,97.75,93.37,55.11,79.08,122.5,238.7,67.9,80.65,111.72,2088.66
11/04/2016,27.21,97.57,92.45,55.84,78.6,122.59,236.28,67.6,80.36,111.04,2085.18
11/07/2016,27.603,99.35,94.43,55.7,79.93,125.46,239.27,69.01,82.51,112.82,2131.52
11/08/2016,27.765,99.85,94.38,56.97,79.89,126.42,239.19,69.83,82.88,114.11,2139.56
11/09/2016,27.72,96.67,94.64,57.79,82.45,125.63,253.46,69.79,83.24,114.98,2163.26
11/10/2016,26.948,94.34,94.96,57.06,83.09,126.33,257.27,69.14,81.87,114.51,2167.48
11/11/2016,27.108,92.99,97.68,57.84,82.22,125.46,259.17,69.85,81.88,114.22,2164.45
11/14/2016,26.428,89.77,97.92,57.83,83.36,123.72,267.24,70.02,78.38,117.86,2164.2
11/15/2016,26.778,91,97.7,56.81,83.7,121.93,265.93,71.03,78.57,118.32,2180.39
11/16/2016,27.498,92.86,99.12,56.67,83,122.36,263.35,71.2,80.08,119.21,2176.94
11/17/2016,27.488,94.07,99.37,57.54,83.83,123.97,263.28,72.08,81.07,119.45,2187.12
11/18/2016,27.515,93.39,98.24,54.61,83.64,121.8,263.09,72.6,80.82,120,2181.9
